,RF_Acc,RF_LL,XGB_Acc,XGB_LL
0,0.6363636363636364,0.6505051086389796,0.5909090909090909,0.6931251577016982
1,0.5227272727272727,0.6825074082385965,0.45454545454545453,0.9435509109700267
2,0.3181818181818182,0.8448994093623952,0.3409090909090909,1.1971746215766126
3,0.45454545454545453,0.7010624929548128,0.5681818181818182,0.7504028205505826
4,0.5909090909090909,0.6782167497377602,0.5454545454545454,0.7752023108980872
5,0.6363636363636364,0.6812452241362087,0.6363636363636364,0.6786981243640184
6,0.45454545454545453,0.7069767339822991,0.5681818181818182,0.7347734428264878
7,0.5909090909090909,0.6894532966401388,0.5227272727272727,0.9355863022025336
8,0.5227272727272727,0.7283229201459821,0.4090909090909091,1.2058408913541248
9,0.5,0.8633310655897511,0.45454545454545453,1.2010726789859207
10,0.4318181818181818,0.7411597514335173,0.45454545454545453,1.075748096601191
11,0.5681818181818182,0.6301259107537943,0.75,0.5340478410097685
12,0.5454545454545454,0.668182063825962,0.5227272727272727,0.877030513164672
